赵一濛(千丈松)(00:03:18): Hello, Mike? 

孙正刚Marc(00:03:20): 对我对我把我女儿名字改改。当时偶像还是谁？

赵一濛(千丈松)(00:03:31): 什么我这头像？

孙正刚Marc(00:03:33): 对面我说我现你看我头像是个女孩子，这是我女儿不知道设置了谁的头像。

赵一濛(千丈松)(00:03:40): 上次你跟我说过来。

孙正刚Marc(00:03:42): 对我，我后来又没换下这次名字，又看又是他了。看着真不习惯。最近忙吗。

赵一濛(千丈松)(00:03:53): 最近还行累中上了。

李磊(00:03:57): 喂，改天唠嗑麦克你好，你好！

孙正刚Marc(00:03:59): 喂，大家好在的，听得见。你好。

孙正刚Marc(00:04:12): 再解释一遍，我女儿设置头像，我自己也没办法，我没改。听不见了。

赵一濛(千丈松)(00:04:28): 能听到你家昨天怎么样，在医院没事了？

李磊(00:04:36): For a. 

赵一濛(千丈松)(00:04:39): 哈，听得清楚吗？

孙正刚Marc(00:04:44): 我能听得见，但是雷雷总这边没回复。

李磊(00:04:54): 没事让我检复查一下，主要是喂。

赵一濛(千丈松)(00:05:00): 你现在肯定是开 VPN 了你你有延迟咱我们跟 mark 有延迟正常跟你有延迟不正常肯定可以开开 VPN 了。

赵一濛(千丈松)(00:05:12): 能听到你查一下你手机。

李磊(00:05:15): 我现在你们看到吗？Ok now. 我已经关了。不是我这信号不好，可能是稍等我换个网。

孙正刚Marc(00:05:34): 我这里听到挺清晰的。我这里听的挺清晰可以。

李磊(00:05:35): 喂这样可以吗？喂可以现在这幅好了喂，你们能听得到吗？麦克？

孙正刚Marc(00:05:48): 我这里能听得到很清楚，很清楚。

李磊(00:05:49): mac。一濛你静音了一濛你静音了，那可以。

赵一濛(千丈松)(00:06:00): 我开开了。是这样，因为那个雷总那个签证也下来了，然后就说咱们要不要商量那个行程什么的。

李磊(00:06:06): 那你又静音了？对我下来了。那你看你，你6月初方便吗？就我只要过了三十号，我31号或者1号都可以启程。

孙正刚Marc(00:06:21): 我这边没问题，主要是看你们6月几号，我看看，6月会。

李磊(00:06:27): 我是三。我6月份都可以。

孙正刚Marc(00:06:32): 稍等一下，我们这边上海有个开发商来我问一下他，我去我忘记了，我稍等一会给我1分钟。

李磊(00:06:42): 没你看没事就咱错开他的时间就行了。

赵一濛(千丈松)(00:07:07): 诶哈！

李磊(00:07:09): 喂一濛你在哪？

赵一濛(千丈松)(00:07:13): 我在南京今天跟那个我们有集中式项目，然后去来跟南京的城镇沟通了一下，你趁那个查，我给你简单简有个人找到我，你看。

